status,mode,batch_size,n,total_elements,threshold,keep_prob,total_count,iters,avg_ms,logical_gbps,csv
PASS,baseline,1,32,32,0,0.5,19,500,0.00409888,0.0585526,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b1_n32_t0_p0.5_all_params_latest.csv
PASS,library_cub_thrust,1,32,32,0,0.5,19,500,0.0151278,0.0158648,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b1_n32_t0_p0.5_all_params_latest.csv
PASS,library_cub_device_select,1,32,32,0,0.5,19,500,0.00616544,0.0389267,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n32_t0_p0.5_all_params_latest.csv
PASS,v1,1,32,32,0,0.5,19,500,0.00832326,0.0288348,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n32_t0_p0.5_all_params_latest.csv
PASS,v2,1,32,32,0,0.5,19,500,0.0083248,0.0288295,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n32_t0_p0.5_all_params_latest.csv
PASS,v3,1,32,32,0,0.5,19,500,0.0083191,0.0288493,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n32_t0_p0.5_all_params_latest.csv
PASS,baseline,1,256,256,0,0.5,120,500,0.0162759,0.108381,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b1_n256_t0_p0.5_all_params_latest.csv
PASS,library_cub_thrust,1,256,256,0,0.5,120,500,0.0157781,0.1118,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b1_n256_t0_p0.5_all_params_latest.csv
PASS,library_cub_device_select,1,256,256,0,0.5,120,500,0.00624403,0.28251,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n256_t0_p0.5_all_params_latest.csv
PASS,v1,1,256,256,0,0.5,120,500,0.00833523,0.211632,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n256_t0_p0.5_all_params_latest.csv
PASS,v2,1,256,256,0,0.5,120,500,0.00832627,0.21186,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n256_t0_p0.5_all_params_latest.csv
PASS,v3,1,256,256,0,0.5,120,500,0.00831757,0.212081,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n256_t0_p0.5_all_params_latest.csv
PASS,baseline,1,512,512,0,0.5,239,500,0.0286647,0.122799,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b1_n512_t0_p0.5_all_params_latest.csv
PASS,library_cub_thrust,1,512,512,0,0.5,239,500,0.0151686,0.232058,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b1_n512_t0_p0.5_all_params_latest.csv
PASS,library_cub_device_select,1,512,512,0,0.5,239,500,0.00615866,0.571553,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n512_t0_p0.5_all_params_latest.csv
PASS,v1,1,512,512,0,0.5,239,500,0.00835328,0.421391,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n512_t0_p0.5_all_params_latest.csv
PASS,v2,1,512,512,0,0.5,239,500,0.00833056,0.422541,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n512_t0_p0.5_all_params_latest.csv
PASS,v3,1,512,512,0,0.5,239,500,0.00831923,0.423116,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n512_t0_p0.5_all_params_latest.csv
PASS,baseline,1,1024,1024,0,0.5,491,500,0.0532735,0.133049,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b1_n1024_t0_p0.5_all_params_latest.csv
PASS,library_cub_thrust,1,1024,1024,0,0.5,491,500,0.0158356,0.4476,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b1_n1024_t0_p0.5_all_params_latest.csv
PASS,library_cub_device_select,1,1024,1024,0,0.5,491,500,0.00621082,1.14123,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n1024_t0_p0.5_all_params_latest.csv
PASS,v1,1,1024,1024,0,0.5,491,500,0.00831898,0.852028,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n1024_t0_p0.5_all_params_latest.csv
PASS,v2,1,1024,1024,0,0.5,491,500,0.00832314,0.851602,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n1024_t0_p0.5_all_params_latest.csv
PASS,v3,1,1024,1024,0,0.5,491,500,0.0083191,0.852015,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n1024_t0_p0.5_all_params_latest.csv
