config,batch_size,n,keep_prob,baseline_mode,baseline_ms,baseline_gbps,best_user_mode,best_user_ms,best_user_gbps,latency_speedup_baseline_over_user,user_latency_pct_of_baseline,user_throughput_over_baseline
B=1 N=1024 p=0.01,1,1024,0.01,library_cub_device_select,0.00628448,1.12786,v2,0.00883744,0.802042,0.7111199623420357,140.62324965629614,0.7111184012200096
B=1 N=1024 p=0.1,1,1024,0.1,library_cub_device_select,0.00639808,1.10783,v2,0.00881888,0.80373,0.7254980224246164,137.83635090527156,0.725499399727395
B=1 N=1024 p=0.5,1,1024,0.5,library_cub_device_select,0.00638976,1.10927,v2,0.00882368,0.803293,0.7241604409951403,138.0909455128205,0.7241636391500718
B=1 N=1024 p=0.9,1,1024,0.9,library_cub_device_select,0.00615296,1.15197,v2,0.00881728,0.803876,0.6978297161936561,143.30143540669857,0.6978272003611206
B=1 N=1024 p=0.99,1,1024,0.99,library_cub_device_select,0.00628416,1.12792,v4,0.00882272,0.80338,0.7122701389140764,140.3961706894796,0.7122668274345698
B=1 N=8192 p=0.01,1,8192,0.01,library_cub_device_select,0.006168,9.3061,v4,0.00879808,6.52415,0.7010620499017968,142.6407263294423,0.7010616692277107
B=1 N=8192 p=0.1,1,8192,0.1,library_cub_device_select,0.00616672,9.30803,v3,0.00883936,6.49368,0.697643268290917,143.33973327798248,0.6976427880013278
B=1 N=8192 p=0.5,1,8192,0.5,library_cub_device_select,0.00616864,9.30513,v1,0.00883296,6.49839,0.6983661196246784,143.19136795144473,0.6983663849940839
B=1 N=8192 p=0.9,1,8192,0.9,library_cub_device_select,0.00618592,9.27914,v2,0.00883264,6.49862,0.700347800883994,142.7861983342817,0.7003472304545464
B=1 N=8192 p=0.99,1,8192,0.99,library_cub_device_select,0.00622624,9.21905,v1,0.00883712,6.49533,0.7045553302433372,141.93349437220536,0.7045552415921381
B=1 N=131072 p=0.01,1,131072,0.01,library_cub_device_select,0.00621408,147.896,v3,0.0090272,101.807,0.6883729174051755,145.27009629744066,0.6883688537891492
B=1 N=131072 p=0.1,1,131072,0.1,library_cub_device_select,0.00617024,148.947,v3,0.00896096,102.56,0.6885690818840837,145.22871071465616,0.6885670741941765
B=1 N=131072 p=0.5,1,131072,0.5,library_cub_device_select,0.00620288,148.163,v3,0.0089648,102.516,0.6919150455113332,144.5264135369377,0.6919136356580252
B=1 N=131072 p=0.9,1,131072,0.9,library_cub_device_select,0.00616576,149.055,v3,0.00900576,102.05,0.6846462708311125,146.06082624039857,0.6846466069571634
B=1 N=131072 p=0.99,1,131072,0.99,library_cub_device_select,0.00641088,143.356,v3,0.00899232,102.202,0.712928365538593,140.26654687032044,0.712924467758587
B=1 N=1048576 p=0.01,1,1048576,0.01,library_cub_device_select,0.0103402,711.607,v3,0.0190906,385.433,0.5416382931914137,184.62505560820873,0.541637448760341
B=1 N=1048576 p=0.1,1,1048576,0.1,library_cub_device_select,0.0102614,717.066,v4,0.0190691,385.866,0.5381166389604125,185.8333170912351,0.5381178301578934
B=1 N=1048576 p=0.5,1,1048576,0.5,library_cub_device_select,0.010313,713.484,v4,0.0190813,385.62,0.5404768018950491,185.02181712401824,0.540474628723279
B=1 N=1048576 p=0.9,1,1048576,0.9,library_cub_device_select,0.0102666,716.709,v4,0.0190714,385.821,0.5383244019841229,185.7615958545185,0.5383230851014847
B=1 N=1048576 p=0.99,1,1048576,0.99,library_cub_device_select,0.0102854,715.393,v4,0.0190858,385.53,0.5389032683984952,185.5620588406868,0.5389065870088189
B=2 N=1024 p=0.01,2,1024,0.01,library_cub_device_select,0.0123674,1.15498,v5,0.00882912,1.61783,1.4007511507375596,71.39026796254669,1.4007428700064073
B=2 N=1024 p=0.1,2,1024,0.1,library_cub_device_select,0.0123334,1.15815,v4,0.00881536,1.62035,1.399080695513286,71.4755055378079,1.3990847472261796
B=2 N=1024 p=0.5,2,1024,0.5,library_cub_device_select,0.0123334,1.15815,v5,0.00883232,1.61724,1.3963941523857832,71.61301830800915,1.3963994301256313
B=2 N=1024 p=0.9,2,1024,0.9,library_cub_device_select,0.0123469,1.15689,v3,0.00882912,1.61783,1.398429288536117,71.50879977970177,1.3984302742698096
B=2 N=1024 p=0.99,2,1024,0.99,library_cub_device_select,0.0123085,1.1605,v5,0.00883584,1.6166,1.3930197921193685,71.7864890116586,1.3930202498922877
B=2 N=8192 p=0.01,2,8192,0.01,library_cub_device_select,0.0123226,9.32988,v1,0.00882528,13.0271,1.396284310526125,71.61865190787658,1.3962773369003676
B=2 N=8192 p=0.1,2,8192,0.1,library_cub_device_select,0.0123322,9.32262,v2,0.00884672,12.9956,1.3939855675323733,71.7367541882227,1.3939858108557464
B=2 N=8192 p=0.5,2,8192,0.5,library_cub_device_select,0.0123658,9.29729,v3,0.00883168,13.0177,1.4001639552157688,71.42020734606737,1.4001606919865897
B=2 N=8192 p=0.9,2,8192,0.9,library_cub_device_select,0.012353,9.30692,v4,0.00881408,13.0437,1.4015075878594248,71.35173642030277,1.4015055464106279
B=2 N=8192 p=0.99,2,8192,0.99,library_cub_device_select,0.012457,9.22922,v3,0.00884352,13.0003,1.4086020046316396,70.9923737657542,1.4086022437432415
B=2 N=131072 p=0.01,2,131072,0.01,library_cub_device_select,0.0123594,148.784,v4,0.0121107,151.838,1.0205355594639451,97.987766396427,1.020526400688246
B=2 N=131072 p=0.1,2,131072,0.1,library_cub_device_select,0.012287,149.659,v4,0.012152,151.323,1.0111092824226464,98.9012777732563,1.0111186096392466
B=2 N=131072 p=0.5,2,131072,0.5,library_cub_device_select,0.0123421,148.992,v4,0.0121981,150.751,1.0118051171903821,98.83326176258498,1.011806003006873
B=2 N=131072 p=0.9,2,131072,0.9,library_cub_device_select,0.0124448,147.762,v4,0.0120784,152.245,1.0303351437276462,97.05579840575983,1.0303393294622434
B=2 N=131072 p=0.99,2,131072,0.99,library_cub_device_select,0.0124854,147.281,v4,0.0120931,152.059,1.0324399864385476,96.85793006231278,1.032441387551687
B=2 N=1048576 p=0.01,2,1048576,0.01,library_cub_device_select,0.0205466,716.179,v5,0.0231693,635.109,0.8868027950779697,112.76464232525088,0.8868020425061334
B=2 N=1048576 p=0.1,2,1048576,0.1,library_cub_device_select,0.0205747,715.198,v5,0.0232077,634.058,0.8865462755895672,112.79727043407681,0.8865488997452454
B=2 N=1048576 p=0.5,2,1048576,0.5,library_cub_device_select,0.0205011,717.766,v5,0.0231888,634.574,0.884094907886566,113.11002824238699,0.8840959309858645
B=2 N=1048576 p=0.9,2,1048576,0.9,library_cub_device_select,0.020535,716.58,v5,0.0231923,634.478,0.8854231792448357,112.94034575115654,0.8854252142119511
B=2 N=1048576 p=0.99,2,1048576,0.99,library_cub_device_select,0.0205734,715.243,v5,0.0231744,634.968,0.8877640845070421,112.6425384234011,0.88776541678842
B=8 N=1024 p=0.01,8,1024,0.01,library_cub_device_select,0.0491376,1.16872,v3,0.00881376,6.51572,5.575100751552118,17.936895574875454,5.575090697515231
B=8 N=1024 p=0.1,8,1024,0.1,library_cub_device_select,0.049161,1.16816,v5,0.00881376,6.51572,5.577755691101188,17.928357844632938,5.577763320093138
B=8 N=1024 p=0.5,8,1024,0.5,library_cub_device_select,0.0491696,1.16796,v5,0.00882304,6.50887,5.572863774844044,17.944095538706843,5.572853522380903
B=8 N=1024 p=0.9,8,1024,0.9,library_cub_device_select,0.0492131,1.16692,v4,0.00882848,6.50486,5.574357080720578,17.939288522771374,5.574383848078703
B=8 N=1024 p=0.99,8,1024,0.99,library_cub_device_select,0.0491568,1.16826,v4,0.00883072,6.50321,5.5665676184954345,17.964391498226085,5.566577645387157
B=8 N=8192 p=0.01,8,8192,0.01,library_cub_device_select,0.0493258,9.32997,v4,0.00884576,52.0258,5.5762082624896,17.933333063021784,5.576202281464999
B=8 N=8192 p=0.1,8,8192,0.1,library_cub_device_select,0.0492758,9.33942,v2,0.00885632,51.9638,5.563913679722503,17.972960357822707,5.563921528317604
B=8 N=8192 p=0.5,8,8192,0.5,library_cub_device_select,0.0492426,9.34574,v2,0.00879712,52.3135,5.597581935906296,17.864856851587856,5.597577077898594
B=8 N=8192 p=0.9,8,8192,0.9,library_cub_device_select,0.0492998,9.33488,v4,0.00879936,52.3002,5.602657465997527,17.8486728140885,5.602664415611127
B=8 N=8192 p=0.99,8,8192,0.99,library_cub_device_select,0.0491389,9.36546,v4,0.00885344,51.9807,5.550260689630245,18.017171731560943,5.5502559404449965
B=8 N=131072 p=0.01,8,131072,0.01,library_cub_device_select,0.0492339,149.453,v4,0.0190794,385.661,2.5804742287493316,38.75256682895322,2.5804834964838443
B=8 N=131072 p=0.1,8,131072,0.1,library_cub_device_select,0.0492253,149.479,v4,0.0190973,385.299,2.577605211207867,38.795700584861855,2.5776129088366924
B=8 N=131072 p=0.5,8,131072,0.5,library_cub_device_select,0.0492794,149.315,v3,0.0190883,385.48,2.5816547309084625,38.734846609333715,2.5816562301175368
B=8 N=131072 p=0.9,8,131072,0.9,library_cub_device_select,0.0492979,149.259,v4,0.0190694,385.861,2.5851835925619056,38.681972254396236,2.5851774432362538
B=8 N=131072 p=0.99,8,131072,0.99,library_cub_device_select,0.0491997,149.557,v4,0.0190826,385.596,2.578249295169421,38.786008857777595,2.578254444793624
B=8 N=1048576 p=0.01,8,1048576,0.01,library_cub_device_select,0.0960608,612.636,v5,0.0623184,944.348,1.5414516418906774,64.87391318831406,1.541450388158711
B=8 N=1048576 p=0.1,8,1048576,0.1,library_cub_device_select,0.0956832,615.053,v5,0.0621635,946.701,1.5392183516050415,64.96804036654292,1.5392185714076674
B=8 N=1048576 p=0.5,8,1048576,0.5,library_cub_device_select,0.0957024,614.93,v5,0.0622048,946.073,1.538505067133083,64.9981609656602,1.5385051957133333
B=8 N=1048576 p=0.9,8,1048576,0.9,library_cub_device_select,0.0956854,615.039,v5,0.0622278,945.723,1.5376632309032299,65.03374600513767,1.5376634652436674
B=8 N=1048576 p=0.99,8,1048576,0.99,library_cub_device_select,0.0957984,614.314,v5,0.0621565,946.808,1.5412450829760362,64.88260764271637,1.5412443799099484
B=16 N=1024 p=0.01,16,1024,0.01,library_cub_device_select,0.0983258,1.16983,v2,0.00882304,13.0368,11.144208798781372,8.973270494620945,11.14418334287888
B=16 N=1024 p=0.1,16,1024,0.1,library_cub_device_select,0.0983757,1.16923,v4,0.00882144,13.0391,11.151886766786374,8.967092483204695,11.151869178861302
B=16 N=1024 p=0.5,16,1024,0.5,library_cub_device_select,0.0983395,1.16966,v4,0.00885056,12.9962,11.111104834044399,9.00000508442691,11.111092112237746
B=16 N=1024 p=0.9,16,1024,0.9,library_cub_device_select,0.0983645,1.16937,v2,0.00882784,13.0297,11.142533167796426,8.974619908605238,11.142495531782071
B=16 N=1024 p=0.99,16,1024,0.99,library_cub_device_select,0.0997626,1.15298,v4,0.00857376,13.4158,11.635805061023403,8.59416254187441,11.635761244774413
B=16 N=8192 p=0.01,16,8192,0.01,library_cub_device_select,0.0984013,9.34029,v3,0.00991392,92.7076,9.92556930053904,10.074988846692067,9.925559056517518
B=16 N=8192 p=0.1,16,8192,0.1,library_cub_device_select,0.0983776,9.34253,v3,0.00991616,92.6867,9.92093713695624,10.079692938229842,9.920942185896111
B=16 N=8192 p=0.5,16,8192,0.5,library_cub_device_select,0.0983504,9.34512,v3,0.0099808,92.0864,9.85395960243668,10.14820478615237,9.853955861454963
B=16 N=8192 p=0.9,16,8192,0.9,library_cub_device_select,0.098296,9.35029,v3,0.00985184,93.2918,9.977425536752524,10.02262553918776,9.97742316013728
B=16 N=8192 p=0.99,16,8192,0.99,library_cub_device_select,0.0983373,9.34636,v3,0.00982144,93.5806,10.01251343998436,9.987502199063835,10.01251824239597
B=16 N=131072 p=0.01,16,131072,0.01,library_cub_device_select,0.0983997,149.544,v5,0.023209,634.025,4.239721659700979,23.58645402374194,4.239722088482319
