category,status,reason,mode,batch_size,n,threshold,keep_prob,total_elements,total_count,iters,avg_ms,logical_gbps,csv
daily_selectivity,PASS,,v3,1,1024,0,0.01,1024,491,100,0.00885312,0.800622,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1024_t0_p0.01.csv
daily_selectivity,PASS,,v4,1,1024,0,0.01,1024,491,100,0.00883168,0.802565,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1024_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,1,1024,0,0.01,1024,491,100,0.0062928,1.12637,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1024_t0_p0.01.csv
daily_selectivity,PASS,,v3,1,1024,0,0.1,1024,491,100,0.00885024,0.800882,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1024_t0_p0.1.csv
daily_selectivity,PASS,,v4,1,1024,0,0.1,1024,491,100,0.00885216,0.800709,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1024_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,1,1024,0,0.1,1024,491,100,0.00621696,1.14011,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1024_t0_p0.1.csv
daily_selectivity,PASS,,v3,1,1024,0,0.5,1024,491,100,0.0088352,0.802246,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1024_t0_p0.5.csv
daily_selectivity,PASS,,v4,1,1024,0,0.5,1024,491,100,0.00885408,0.800535,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1024_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,1,1024,0,0.5,1024,491,100,0.00623968,1.13596,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1024_t0_p0.5.csv
daily_selectivity,PASS,,v3,1,1024,0,0.9,1024,491,100,0.00884768,0.801114,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1024_t0_p0.9.csv
daily_selectivity,PASS,,v4,1,1024,0,0.9,1024,491,100,0.00883488,0.802275,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1024_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,1,1024,0,0.9,1024,491,100,0.00626784,1.13085,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1024_t0_p0.9.csv
daily_selectivity,PASS,,v3,1,1024,0,0.99,1024,491,100,0.00884544,0.801317,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1024_t0_p0.99.csv
daily_selectivity,PASS,,v4,1,1024,0,0.99,1024,491,100,0.0088432,0.80152,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1024_t0_p0.99.csv
daily_selectivity,PASS,,library_cub,1,1024,0,0.99,1024,491,100,0.00627648,1.1293,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1024_t0_p0.99.csv
daily_selectivity,PASS,,v3,1,8192,0,0.01,8192,4109,100,0.00883392,6.49768,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n8192_t0_p0.01.csv
daily_selectivity,PASS,,v4,1,8192,0,0.01,8192,4109,100,0.00894368,6.41794,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n8192_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,1,8192,0,0.01,8192,4109,100,0.00619424,9.26667,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n8192_t0_p0.01.csv
daily_selectivity,PASS,,v3,1,8192,0,0.1,8192,4109,100,0.00885984,6.47867,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n8192_t0_p0.1.csv
daily_selectivity,PASS,,v4,1,8192,0,0.1,8192,4109,100,0.00885888,6.47937,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n8192_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,1,8192,0,0.1,8192,4109,100,0.0061856,9.27962,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n8192_t0_p0.1.csv
daily_selectivity,PASS,,v3,1,8192,0,0.5,8192,4109,100,0.0088624,6.4768,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n8192_t0_p0.5.csv
daily_selectivity,PASS,,v4,1,8192,0,0.5,8192,4109,100,0.00884448,6.48992,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n8192_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,1,8192,0,0.5,8192,4109,100,0.0062288,9.21526,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n8192_t0_p0.5.csv
daily_selectivity,PASS,,v3,1,8192,0,0.9,8192,4109,100,0.00884608,6.48875,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n8192_t0_p0.9.csv
daily_selectivity,PASS,,v4,1,8192,0,0.9,8192,4109,100,0.00889888,6.45025,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n8192_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,1,8192,0,0.9,8192,4109,100,0.00617088,9.30175,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n8192_t0_p0.9.csv
daily_selectivity,PASS,,v3,1,8192,0,0.99,8192,4109,100,0.00886656,6.47376,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n8192_t0_p0.99.csv
daily_selectivity,PASS,,v4,1,8192,0,0.99,8192,4109,100,0.00890528,6.44561,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n8192_t0_p0.99.csv
daily_selectivity,PASS,,library_cub,1,8192,0,0.99,8192,4109,100,0.00618944,9.27386,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n8192_t0_p0.99.csv
daily_selectivity,PASS,,v3,1,131072,0,0.01,131072,65918,100,0.0090624,101.412,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n131072_t0_p0.01.csv
daily_selectivity,PASS,,v4,1,131072,0,0.01,131072,65918,100,0.0104499,87.9467,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n131072_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.01,131072,65918,100,0.00620096,148.209,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n131072_t0_p0.01.csv
daily_selectivity,PASS,,v3,1,131072,0,0.1,131072,65918,100,0.00897792,102.366,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n131072_t0_p0.1.csv
daily_selectivity,PASS,,v4,1,131072,0,0.1,131072,65918,100,0.0106058,86.6544,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n131072_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.1,131072,65918,100,0.00620544,148.102,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n131072_t0_p0.1.csv
daily_selectivity,PASS,,v3,1,131072,0,0.5,131072,65918,100,0.00901024,101.999,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n131072_t0_p0.5.csv
daily_selectivity,PASS,,v4,1,131072,0,0.5,131072,65918,100,0.0102384,89.7636,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n131072_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.5,131072,65918,100,0.00623424,147.417,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n131072_t0_p0.5.csv
daily_selectivity,PASS,,v3,1,131072,0,0.9,131072,65918,100,0.00890912,103.157,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n131072_t0_p0.9.csv
daily_selectivity,PASS,,v4,1,131072,0,0.9,131072,65918,100,0.0103325,88.9463,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n131072_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.9,131072,65918,100,0.00616448,149.086,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n131072_t0_p0.9.csv
daily_selectivity,PASS,,v3,1,131072,0,0.99,131072,65918,100,0.00918656,100.041,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n131072_t0_p0.99.csv
daily_selectivity,PASS,,v4,1,131072,0,0.99,131072,65918,100,0.0106256,86.4926,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n131072_t0_p0.99.csv
daily_selectivity,PASS,,library_cub,1,131072,0,0.99,131072,65918,100,0.00624704,147.115,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n131072_t0_p0.99.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.01,1048576,528812,100,0.0191014,385.213,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1048576_t0_p0.01.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.01,1048576,528812,100,0.019016,386.944,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1048576_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.01,1048576,528812,100,0.0102573,717.357,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1048576_t0_p0.01.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.1,1048576,528812,100,0.0190925,385.394,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1048576_t0_p0.1.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.1,1048576,528812,100,0.0191005,385.233,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1048576_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.1,1048576,528812,100,0.0102637,716.91,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1048576_t0_p0.1.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.5,1048576,528812,100,0.0191037,385.168,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1048576_t0_p0.5.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.5,1048576,528812,100,0.0191034,385.175,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1048576_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.5,1048576,528812,100,0.0102637,716.91,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1048576_t0_p0.5.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.9,1048576,528812,100,0.0190896,385.452,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1048576_t0_p0.9.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.9,1048576,528812,100,0.0191194,384.852,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1048576_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.9,1048576,528812,100,0.0102646,716.843,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1048576_t0_p0.9.csv
daily_selectivity,PASS,,v3,1,1048576,0,0.99,1048576,528812,100,0.0190989,385.265,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b1_n1048576_t0_p0.99.csv
daily_selectivity,PASS,,v4,1,1048576,0,0.99,1048576,528812,100,0.0190822,385.601,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b1_n1048576_t0_p0.99.csv
daily_selectivity,PASS,,library_cub,1,1048576,0,0.99,1048576,528812,100,0.0102864,715.326,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b1_n1048576_t0_p0.99.csv
daily_selectivity,PASS,,v3,2,1024,0,0.01,2048,1009,100,0.00887584,1.60931,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n1024_t0_p0.01.csv
daily_selectivity,PASS,,v4,2,1024,0,0.01,2048,1009,100,0.00885248,1.61356,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n1024_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.01,2048,1009,100,0.0123667,1.15504,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n1024_t0_p0.01.csv
daily_selectivity,PASS,,v3,2,1024,0,0.1,2048,1009,100,0.00885248,1.61356,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n1024_t0_p0.1.csv
daily_selectivity,PASS,,v4,2,1024,0,0.1,2048,1009,100,0.00893376,1.59888,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n1024_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.1,2048,1009,100,0.0123264,1.15881,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n1024_t0_p0.1.csv
daily_selectivity,PASS,,v3,2,1024,0,0.5,2048,1009,100,0.00884224,1.61543,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n1024_t0_p0.5.csv
daily_selectivity,PASS,,v4,2,1024,0,0.5,2048,1009,100,0.0088864,1.6074,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n1024_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.5,2048,1009,100,0.0123667,1.15504,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n1024_t0_p0.5.csv
daily_selectivity,PASS,,v3,2,1024,0,0.9,2048,1009,100,0.00884512,1.6149,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n1024_t0_p0.9.csv
daily_selectivity,PASS,,v4,2,1024,0,0.9,2048,1009,100,0.00889696,1.60549,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n1024_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.9,2048,1009,100,0.0123507,1.15653,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n1024_t0_p0.9.csv
daily_selectivity,PASS,,v3,2,1024,0,0.99,2048,1009,100,0.00885024,1.61397,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n1024_t0_p0.99.csv
daily_selectivity,PASS,,v4,2,1024,0,0.99,2048,1009,100,0.00887648,1.6092,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n1024_t0_p0.99.csv
daily_selectivity,PASS,,library_cub,2,1024,0,0.99,2048,1009,100,0.0123453,1.15704,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n1024_t0_p0.99.csv
daily_selectivity,PASS,,v3,2,8192,0,0.01,16384,8260,100,0.00884,13.0054,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n8192_t0_p0.01.csv
daily_selectivity,PASS,,v4,2,8192,0,0.01,16384,8260,100,0.0088448,12.9984,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n8192_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,2,8192,0,0.01,16384,8260,100,0.0123232,9.3294,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n8192_t0_p0.01.csv
daily_selectivity,PASS,,v3,2,8192,0,0.1,16384,8260,100,0.00882976,13.0205,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n8192_t0_p0.1.csv
daily_selectivity,PASS,,v4,2,8192,0,0.1,16384,8260,100,0.00885344,12.9857,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n8192_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,2,8192,0,0.1,16384,8260,100,0.0123152,9.33545,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n8192_t0_p0.1.csv
daily_selectivity,PASS,,v3,2,8192,0,0.5,16384,8260,100,0.00883392,13.0144,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n8192_t0_p0.5.csv
daily_selectivity,PASS,,v4,2,8192,0,0.5,16384,8260,100,0.00885472,12.9838,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n8192_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,2,8192,0,0.5,16384,8260,100,0.0123037,9.3442,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n8192_t0_p0.5.csv
daily_selectivity,PASS,,v3,2,8192,0,0.9,16384,8260,100,0.00885376,12.9852,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n8192_t0_p0.9.csv
daily_selectivity,PASS,,v4,2,8192,0,0.9,16384,8260,100,0.00882464,13.0281,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n8192_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,2,8192,0,0.9,16384,8260,100,0.0123062,9.34225,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n8192_t0_p0.9.csv
daily_selectivity,PASS,,v3,2,8192,0,0.99,16384,8260,100,0.00883168,13.0177,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n8192_t0_p0.99.csv
daily_selectivity,PASS,,v4,2,8192,0,0.99,16384,8260,100,0.0088432,13.0007,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n8192_t0_p0.99.csv
daily_selectivity,PASS,,library_cub,2,8192,0,0.99,16384,8260,100,0.0122998,9.34711,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n8192_t0_p0.99.csv
daily_selectivity,PASS,,v3,2,131072,0,0.01,262144,132036,100,0.012767,144.033,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n131072_t0_p0.01.csv
daily_selectivity,PASS,,v4,2,131072,0,0.01,262144,132036,100,0.0119504,153.875,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n131072_t0_p0.01.csv
daily_selectivity,PASS,,library_cub,2,131072,0,0.01,262144,132036,100,0.0123427,148.984,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n131072_t0_p0.01.csv
daily_selectivity,PASS,,v3,2,131072,0,0.1,262144,132036,100,0.0127069,144.715,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n131072_t0_p0.1.csv
daily_selectivity,PASS,,v4,2,131072,0,0.1,262144,132036,100,0.0120451,152.665,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n131072_t0_p0.1.csv
daily_selectivity,PASS,,library_cub,2,131072,0,0.1,262144,132036,100,0.0123242,149.209,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n131072_t0_p0.1.csv
daily_selectivity,PASS,,v3,2,131072,0,0.5,262144,132036,100,0.0126787,145.036,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n131072_t0_p0.5.csv
daily_selectivity,PASS,,v4,2,131072,0,0.5,262144,132036,100,0.012033,152.82,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n131072_t0_p0.5.csv
daily_selectivity,PASS,,library_cub,2,131072,0,0.5,262144,132036,100,0.0123843,148.484,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n131072_t0_p0.5.csv
daily_selectivity,PASS,,v3,2,131072,0,0.9,262144,132036,100,0.012688,144.93,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v3_b2_n131072_t0_p0.9.csv
daily_selectivity,PASS,,v4,2,131072,0,0.9,262144,132036,100,0.012057,152.515,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_v4_b2_n131072_t0_p0.9.csv
daily_selectivity,PASS,,library_cub,2,131072,0,0.9,262144,132036,100,0.0123261,149.185,reports/benchmark/extended_matrix_fair_cub/daily_selectivity_library_cub_b2_n131072_t0_p0.9.csv
