B,N,mode,avg_ms,logical_gbps,total_count,status,best_mode,vs_best_pct,vs_cub_device_select_pct,vs_v2_pct
1,8192,library_cub_device_select,0.00618912,9.27434,4109,pass,library_cub_device_select,+0.0%,+0.0%,-30.1%
1,8192,library_cub_thrust,0.0167142,3.4342,4109,pass,library_cub_device_select,+170.1%,+170.1%,+88.8%
1,8192,v1,0.00887712,6.46606,4109,pass,library_cub_device_select,+43.4%,+43.4%,+0.3%
1,8192,v2,0.0088544,6.48265,4109,pass,library_cub_device_select,+43.1%,+43.1%,+0.0%
1,131072,library_cub_device_select,0.00622656,147.599,65918,pass,library_cub_device_select,+0.0%,+0.0%,-50.9%
1,131072,library_cub_thrust,0.0166314,55.2592,65918,pass,library_cub_device_select,+167.1%,+167.1%,+31.1%
1,131072,v1,0.0127984,71.8087,65918,pass,library_cub_device_select,+105.5%,+105.5%,+0.9%
1,131072,v2,0.0126883,72.4317,65918,pass,library_cub_device_select,+103.8%,+103.8%,+0.0%
1,1048576,library_cub_device_select,0.0102816,715.66,528812,pass,library_cub_device_select,+0.0%,+0.0%,-71.0%
1,1048576,library_cub_thrust,0.0205475,358.103,528812,pass,library_cub_device_select,+99.8%,+99.8%,-42.1%
1,1048576,v1,0.0361136,203.75,528812,pass,library_cub_device_select,+251.2%,+251.2%,+1.8%
1,1048576,v2,0.035489,207.336,528812,pass,library_cub_device_select,+245.2%,+245.2%,+0.0%
2,8192,library_cub_device_select,0.0123472,9.31126,8260,pass,v1,+39.7%,+0.0%,+39.4%
2,8192,library_cub_thrust,0.0317738,3.61833,8260,pass,v1,+259.5%,+157.3%,+258.7%
2,8192,v1,0.00883904,13.0068,8260,pass,v1,+0.0%,-28.4%,-0.2%
2,8192,v2,0.0088592,12.9772,8260,pass,v1,+0.2%,-28.2%,+0.0%
2,131072,library_cub_device_select,0.0123043,149.449,132036,pass,library_cub_device_select,+0.0%,+0.0%,-10.1%
2,131072,library_cub_thrust,0.0309219,59.4682,132036,pass,library_cub_device_select,+151.3%,+151.3%,+126.0%
2,131072,v1,0.014176,129.717,132036,pass,library_cub_device_select,+15.2%,+15.2%,+3.6%
2,131072,v2,0.0136838,134.383,132036,pass,library_cub_device_select,+11.2%,+11.2%,+0.0%
2,1048576,library_cub_device_select,0.0205395,716.424,1057310,pass,library_cub_device_select,+0.0%,+0.0%,-60.4%
2,1048576,library_cub_thrust,0.0400762,367.176,1057310,pass,library_cub_device_select,+95.1%,+95.1%,-22.7%
2,1048576,v1,0.0519178,283.429,1057310,pass,library_cub_device_select,+152.8%,+152.8%,+0.2%
2,1048576,v2,0.0518365,283.874,1057310,pass,library_cub_device_select,+152.4%,+152.4%,+0.0%
8,8192,library_cub_device_select,0.0491827,9.35711,33124,pass,v2,+455.0%,+0.0%,+455.0%
8,8192,library_cub_thrust,0.122812,3.74725,33124,pass,v2,+1285.9%,+149.7%,+1285.9%
8,8192,v1,0.0090816,50.6748,33124,pass,v2,+2.5%,-81.5%,+2.5%
8,8192,v2,0.00886176,51.9319,33124,pass,v2,+0.0%,-82.0%,+0.0%
8,131072,library_cub_device_select,0.0492627,149.366,528812,pass,v2,+67.9%,+0.0%,+67.9%
8,131072,library_cub_thrust,0.119559,61.544,528812,pass,v2,+307.6%,+142.7%,+307.6%
8,131072,v1,0.0299613,245.589,528812,pass,v2,+2.1%,-39.2%,+2.1%
8,131072,v2,0.0293344,250.837,528812,pass,v2,+0.0%,-40.5%,+0.0%
8,1048576,library_cub_device_select,0.0960502,612.703,4226803,pass,library_cub_device_select,+0.0%,+0.0%,-38.0%
8,1048576,library_cub_thrust,0.164204,358.398,4226803,pass,library_cub_device_select,+71.0%,+71.0%,+6.1%
8,1048576,v1,0.198713,296.157,4226803,pass,library_cub_device_select,+106.9%,+106.9%,+28.4%
8,1048576,v2,0.15481,380.145,4226803,pass,library_cub_device_select,+61.2%,+61.2%,+0.0%
