config,batch_size,n,keep_prob,library_cub_device_select_ms,library_cub_device_select_gbps,v1_ms,v1_gbps,v2_ms,v2_gbps,v3_ms,v3_gbps,v4_ms,v4_gbps,v5_ms,v5_gbps,winner,row_best_ms
B=1 N=1024 p=0.01,1,1024,0.01,0.00628448,1.12786,0.0089648,0.790648,0.00883744,0.802042,0.00897728,0.789549,0.00883968,0.801839,0.00885504,0.800448,library_cub_device_select,0.00628448
B=1 N=1024 p=0.1,1,1024,0.1,0.00639808,1.10783,0.00884192,0.801636,0.00881888,0.80373,0.0088416,0.801665,0.00906528,0.781884,0.00883808,0.801984,library_cub_device_select,0.00639808
B=1 N=1024 p=0.5,1,1024,0.5,0.00638976,1.10927,0.008848,0.801085,0.00882368,0.803293,0.00885312,0.800622,0.00884256,0.801578,0.008864,0.799639,library_cub_device_select,0.00638976
B=1 N=1024 p=0.9,1,1024,0.9,0.00615296,1.15197,0.00887072,0.799033,0.00881728,0.803876,0.0088272,0.802973,0.00882976,0.80274,0.0088848,0.797767,library_cub_device_select,0.00615296
B=1 N=1024 p=0.99,1,1024,0.99,0.00628416,1.12792,0.00883264,0.802478,0.00882656,0.803031,0.00884832,0.801056,0.00882272,0.80338,0.00887264,0.79886,library_cub_device_select,0.00628416
B=1 N=8192 p=0.01,1,8192,0.01,0.006168,9.3061,0.00886944,6.47166,0.00883232,6.49886,0.00885088,6.48523,0.00879808,6.52415,0.0109258,5.25364,library_cub_device_select,0.006168
B=1 N=8192 p=0.1,1,8192,0.1,0.00616672,9.30803,0.00885728,6.48054,0.00885024,6.4857,0.00883936,6.49368,0.00889248,6.45489,0.0109213,5.25579,library_cub_device_select,0.00616672
B=1 N=8192 p=0.5,1,8192,0.5,0.00616864,9.30513,0.00883296,6.49839,0.00884896,6.48664,0.00884736,6.48781,0.00887808,6.46536,0.0109162,5.25826,library_cub_device_select,0.00616864
B=1 N=8192 p=0.9,1,8192,0.9,0.00618592,9.27914,0.00889728,6.45141,0.00883264,6.49862,0.00886912,6.47189,0.00886496,6.47493,0.0108739,5.27869,library_cub_device_select,0.00618592
B=1 N=8192 p=0.99,1,8192,0.99,0.00622624,9.21905,0.00883712,6.49533,0.00885888,6.47937,0.00886464,6.47516,0.00885472,6.48242,0.0109114,5.26057,library_cub_device_select,0.00622624
B=1 N=131072 p=0.01,1,131072,0.01,0.00621408,147.896,0.0128586,71.4727,0.0127782,71.922,0.0090272,101.807,0.0109571,83.8757,0.0109808,83.6948,library_cub_device_select,0.00621408
B=1 N=131072 p=0.1,1,131072,0.1,0.00617024,148.947,0.0127648,71.9977,0.012768,71.9796,0.00896096,102.56,0.0107402,85.57,0.0110022,83.5317,library_cub_device_select,0.00617024
B=1 N=131072 p=0.5,1,131072,0.5,0.00620288,148.163,0.0127792,71.9165,0.0126496,72.6534,0.0089648,102.516,0.0109114,84.2275,0.0109456,83.964,library_cub_device_select,0.00620288
B=1 N=131072 p=0.9,1,131072,0.9,0.00616576,149.055,0.0128563,71.4852,0.0127696,71.9706,0.00900576,102.05,0.0110128,83.4516,0.0110541,83.14,library_cub_device_select,0.00616576
B=1 N=131072 p=0.99,1,131072,0.99,0.00641088,143.356,0.0128627,71.4496,0.0127581,72.0356,0.00899232,102.202,0.0110067,83.4977,0.0110381,83.2605,library_cub_device_select,0.00641088
B=1 N=1048576 p=0.01,1,1048576,0.01,0.0103402,711.607,0.0363402,202.479,0.0313664,234.586,0.0190906,385.433,0.0190976,385.291,0.0202182,363.935,library_cub_device_select,0.0103402
B=1 N=1048576 p=0.1,1,1048576,0.1,0.0102614,717.066,0.0363462,202.445,0.031368,234.574,0.0190925,385.394,0.0190691,385.866,0.0199011,369.735,library_cub_device_select,0.0102614
B=1 N=1048576 p=0.5,1,1048576,0.5,0.010313,713.484,0.0362099,203.208,0.0313715,234.548,0.0190883,385.478,0.0190813,385.62,0.0200003,367.901,library_cub_device_select,0.010313
B=1 N=1048576 p=0.9,1,1048576,0.9,0.0102666,716.709,0.0361117,203.76,0.0313376,234.802,0.0190906,385.433,0.0190714,385.821,0.0202883,362.678,library_cub_device_select,0.0102666
B=1 N=1048576 p=0.99,1,1048576,0.99,0.0102854,715.393,0.0361578,203.501,0.0313734,234.534,0.0190938,385.368,0.0190858,385.53,0.0200534,366.926,library_cub_device_select,0.0102854
B=2 N=1024 p=0.01,2,1024,0.01,0.0123674,1.15498,0.00893472,1.59871,0.00883584,1.6166,0.00884096,1.61566,0.00883904,1.61601,0.00882912,1.61783,v5,0.00882912
B=2 N=1024 p=0.1,2,1024,0.1,0.0123334,1.15815,0.00893856,1.59802,0.00883072,1.61754,0.00882112,1.6193,0.00881536,1.62035,0.0088528,1.6135,v4,0.00881536
B=2 N=1024 p=0.5,2,1024,0.5,0.0123334,1.15815,0.0088432,1.61525,0.00883744,1.61631,0.0089488,1.59619,0.0089408,1.59762,0.00883232,1.61724,v5,0.00883232
B=2 N=1024 p=0.9,2,1024,0.9,0.0123469,1.15689,0.00886048,1.6121,0.00888192,1.60821,0.00882912,1.61783,0.00905152,1.57808,0.00888256,1.60809,v3,0.00882912
B=2 N=1024 p=0.99,2,1024,0.99,0.0123085,1.1605,0.00888928,1.60688,0.00889024,1.60671,0.00890048,1.60486,0.00890432,1.60417,0.00883584,1.6166,v5,0.00883584
B=2 N=8192 p=0.01,2,8192,0.01,0.0123226,9.32988,0.00882528,13.0271,0.00885056,12.9899,0.00887552,12.9534,0.0088432,13.0007,0.0108851,10.5619,v1,0.00882528
B=2 N=8192 p=0.1,2,8192,0.1,0.0123322,9.32262,0.0088736,12.9562,0.00884672,12.9956,0.00889248,12.9287,0.00885472,12.9838,0.0109226,10.5257,v2,0.00884672
B=2 N=8192 p=0.5,2,8192,0.5,0.0123658,9.29729,0.00883296,13.0158,0.00885216,12.9876,0.00883168,13.0177,0.00884608,12.9965,0.010936,10.5128,v3,0.00883168
B=2 N=8192 p=0.9,2,8192,0.9,0.012353,9.30692,0.00882624,13.0257,0.00891264,12.8994,0.00882592,13.0262,0.00881408,13.0437,0.0108752,10.5716,v4,0.00881408
B=2 N=8192 p=0.99,2,8192,0.99,0.012457,9.22922,0.00895456,12.839,0.00884416,12.9993,0.00884352,13.0003,0.00885568,12.9824,0.010905,10.5427,v3,0.00884352
B=2 N=131072 p=0.01,2,131072,0.01,0.0123594,148.784,0.0141443,130.008,0.0129798,141.671,0.0126685,145.153,0.0121107,151.838,0.0127603,144.109,v4,0.0121107
B=2 N=131072 p=0.1,2,131072,0.1,0.012287,149.659,0.0142272,129.25,0.012929,142.229,0.0126502,145.363,0.012152,151.323,0.0127251,144.507,v4,0.012152
B=2 N=131072 p=0.5,2,131072,0.5,0.0123421,148.992,0.014056,130.825,0.0129434,142.071,0.0126717,145.117,0.0121981,150.751,0.0127558,144.159,v4,0.0121981
B=2 N=131072 p=0.9,2,131072,0.9,0.0124448,147.762,0.0140694,130.7,0.0130256,141.174,0.0126682,145.157,0.0120784,152.245,0.0127606,144.105,v4,0.0120784
B=2 N=131072 p=0.99,2,131072,0.99,0.0124854,147.281,0.0139885,131.456,0.0129667,141.815,0.0126851,144.963,0.0120931,152.059,0.0127286,144.467,v4,0.0120931
