status,mode,batch_size,n,total_elements,threshold,keep_prob,total_count,iters,avg_ms,logical_gbps,csv
PASS,baseline,1,131072,131072,0,0.5,65918,500,5.72949,0.160404,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b1_n131072_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_thrust,1,131072,131072,0,0.5,65918,500,0.016294,56.4035,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b1_n131072_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_device_select,1,131072,131072,0,0.5,65918,500,0.00616429,149.09,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n131072_t0_p0.5_large_rerun_latest.csv
PASS,v1,1,131072,131072,0,0.5,65918,500,0.0124306,73.9334,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n131072_t0_p0.5_large_rerun_latest.csv
PASS,v2,1,131072,131072,0,0.5,65918,500,0.0123692,74.3003,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n131072_t0_p0.5_large_rerun_latest.csv
PASS,v3,1,131072,131072,0,0.5,65918,500,0.00946906,97.0568,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n131072_t0_p0.5_large_rerun_latest.csv
PASS,baseline,1,1048576,1048576,0,0.5,528812,100,45.2888,0.162471,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b1_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_thrust,1,1048576,1048576,0,0.5,528812,100,0.0205443,358.159,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b1_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_device_select,1,1048576,1048576,0,0.5,528812,200,0.0102518,717.738,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,v1,1,1048576,1048576,0,0.5,528812,200,0.0358622,205.178,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,v2,1,1048576,1048576,0,0.5,528812,200,0.0310573,236.921,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,v3,1,1048576,1048576,0,0.5,528812,200,0.018759,392.245,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,baseline,2,131072,262144,0,0.5,132036,500,5.73374,0.320711,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b2_n131072_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_thrust,2,131072,262144,0,0.5,132036,500,0.0307388,59.8225,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b2_n131072_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_device_select,2,131072,262144,0,0.5,132036,500,0.00829011,221.815,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n131072_t0_p0.5_large_rerun_latest.csv
PASS,v1,2,131072,262144,0,0.5,132036,500,0.0135644,135.567,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n131072_t0_p0.5_large_rerun_latest.csv
PASS,v2,2,131072,262144,0,0.5,132036,500,0.0124599,147.583,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n131072_t0_p0.5_large_rerun_latest.csv
PASS,v3,2,131072,262144,0,0.5,132036,500,0.0114962,159.955,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n131072_t0_p0.5_large_rerun_latest.csv
PASS,baseline,2,1048576,2097152,0,0.5,1057310,100,45.4744,0.323589,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b2_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_thrust,2,1048576,2097152,0,0.5,1057310,100,0.0394438,373.062,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b2_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_device_select,2,1048576,2097152,0,0.5,1057310,200,0.0181187,812.144,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,v1,2,1048576,2097152,0,0.5,1057310,200,0.0515736,285.321,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,v2,2,1048576,2097152,0,0.5,1057310,200,0.0501563,293.383,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,v3,2,1048576,2097152,0,0.5,1057310,200,0.0249158,590.588,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,baseline,8,131072,1048576,0,0.5,528812,500,5.82242,1.26376,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b8_n131072_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_thrust,8,131072,1048576,0,0.5,528812,500,0.113685,64.7239,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b8_n131072_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_device_select,8,131072,1048576,0,0.5,528812,500,0.0226653,324.644,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n131072_t0_p0.5_large_rerun_latest.csv
PASS,v1,8,131072,1048576,0,0.5,528812,500,0.0294936,249.483,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n131072_t0_p0.5_large_rerun_latest.csv
PASS,v2,8,131072,1048576,0,0.5,528812,500,0.0288102,255.401,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n131072_t0_p0.5_large_rerun_latest.csv
PASS,v3,8,131072,1048576,0,0.5,528812,500,0.0185575,396.506,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b8_n131072_t0_p0.5_large_rerun_latest.csv
PASS,baseline,8,1048576,8388608,0,0.5,4226803,100,57.6048,1.02162,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/baseline_b8_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_thrust,8,1048576,8388608,0,0.5,4226803,100,0.16956,347.076,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_thrust_b8_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,library_cub_device_select,8,1048576,8388608,0,0.5,4226803,200,0.0604515,973.512,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,v1,8,1048576,8388608,0,0.5,4226803,200,0.198203,296.919,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,v2,8,1048576,8388608,0,0.5,4226803,200,0.160312,367.099,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n1048576_t0_p0.5_large_rerun_latest.csv
PASS,v3,8,1048576,8388608,0,0.5,4226803,200,0.0639133,920.783,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b8_n1048576_t0_p0.5_large_rerun_latest.csv
