status,mode,batch_size,n,total_elements,threshold,keep_prob,total_count,iters,avg_ms,logical_gbps,csv
PASS,library_cub_device_select,1,8192,8192,0,0.5,4109,200,0.0061656,9.30972,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n8192_t0_p0.5_launch_latest.csv
PASS,v1,1,8192,8192,0,0.5,4109,200,0.00858896,6.683,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n8192_t0_p0.5_launch_latest.csv
PASS,v2,1,8192,8192,0,0.5,4109,200,0.00852656,6.73191,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n8192_t0_p0.5_launch_latest.csv
PASS,library_cub_device_select,1,131072,131072,0,0.5,65918,200,0.00616784,149.005,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n131072_t0_p0.5_launch_latest.csv
PASS,v1,1,131072,131072,0,0.5,65918,200,0.012541,73.2827,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n131072_t0_p0.5_launch_latest.csv
PASS,v2,1,131072,131072,0,0.5,65918,200,0.0125117,73.4542,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n131072_t0_p0.5_launch_latest.csv
PASS,library_cub_device_select,1,1048576,1048576,0,0.5,528812,200,0.0102517,717.749,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n1048576_t0_p0.5_launch_latest.csv
PASS,v1,1,1048576,1048576,0,0.5,528812,200,0.0357194,205.998,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n1048576_t0_p0.5_launch_latest.csv
PASS,v2,1,1048576,1048576,0,0.5,528812,200,0.0310637,236.873,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n1048576_t0_p0.5_launch_latest.csv
PASS,library_cub_device_select,2,8192,16384,0,0.5,8260,200,0.0123064,9.34213,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n8192_t0_p0.5_launch_latest.csv
PASS,v1,2,8192,16384,0,0.5,8260,200,0.00850944,13.5106,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n8192_t0_p0.5_launch_latest.csv
PASS,v2,2,8192,16384,0,0.5,8260,200,0.00853648,13.4678,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n8192_t0_p0.5_launch_latest.csv
PASS,library_cub_device_select,2,131072,262144,0,0.5,132036,200,0.0123283,149.158,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n131072_t0_p0.5_launch_latest.csv
PASS,v1,2,131072,262144,0,0.5,132036,200,0.013823,133.029,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n131072_t0_p0.5_launch_latest.csv
PASS,v2,2,131072,262144,0,0.5,132036,200,0.0126362,145.525,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n131072_t0_p0.5_launch_latest.csv
PASS,library_cub_device_select,2,1048576,2097152,0,0.5,1057310,200,0.0205533,715.945,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n1048576_t0_p0.5_launch_latest.csv
PASS,v1,2,1048576,2097152,0,0.5,1057310,200,0.0515941,285.207,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n1048576_t0_p0.5_launch_latest.csv
PASS,v2,2,1048576,2097152,0,0.5,1057310,200,0.0502314,292.945,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n1048576_t0_p0.5_launch_latest.csv
PASS,library_cub_device_select,8,8192,65536,0,0.5,33124,200,0.0492168,9.35063,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n8192_t0_p0.5_launch_latest.csv
PASS,v1,8,8192,65536,0,0.5,33124,200,0.00858784,53.5883,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n8192_t0_p0.5_launch_latest.csv
PASS,v2,8,8192,65536,0,0.5,33124,200,0.00857296,53.6813,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n8192_t0_p0.5_launch_latest.csv
PASS,library_cub_device_select,8,131072,1048576,0,0.5,528812,200,0.049205,149.541,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n131072_t0_p0.5_launch_latest.csv
PASS,v1,8,131072,1048576,0,0.5,528812,200,0.0295507,249.001,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n131072_t0_p0.5_launch_latest.csv
PASS,v2,8,131072,1048576,0,0.5,528812,200,0.0289957,253.767,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n131072_t0_p0.5_launch_latest.csv
PASS,library_cub_device_select,8,1048576,8388608,0,0.5,4226803,200,0.0959139,613.574,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n1048576_t0_p0.5_launch_latest.csv
PASS,v1,8,1048576,8388608,0,0.5,4226803,200,0.198252,296.846,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n1048576_t0_p0.5_launch_latest.csv
PASS,v2,8,1048576,8388608,0,0.5,4226803,200,0.160308,367.106,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n1048576_t0_p0.5_launch_latest.csv
