status,mode,batch_size,n,total_elements,threshold,keep_prob,total_count,iters,avg_ms,logical_gbps,csv
PASS,library_cub_device_select,1,8192,8192,0,0.5,4109,200,0.00621488,9.2359,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n8192_t0_p0.5_library_fast_latest.csv
PASS,v1,1,8192,8192,0,0.5,4109,200,0.00857792,6.6916,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n8192_t0_p0.5_library_fast_latest.csv
PASS,v2,1,8192,8192,0,0.5,4109,200,0.00852368,6.73418,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n8192_t0_p0.5_library_fast_latest.csv
PASS,library_cub_device_select,1,131072,131072,0,0.5,65918,200,0.00616608,149.047,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n131072_t0_p0.5_library_fast_latest.csv
PASS,v1,1,131072,131072,0,0.5,65918,200,0.0125547,73.2024,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n131072_t0_p0.5_library_fast_latest.csv
PASS,v2,1,131072,131072,0,0.5,65918,200,0.012493,73.5643,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n131072_t0_p0.5_library_fast_latest.csv
PASS,library_cub_device_select,1,1048576,1048576,0,0.5,528812,200,0.010263,716.954,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n1048576_t0_p0.5_library_fast_latest.csv
PASS,v1,1,1048576,1048576,0,0.5,528812,200,0.0358874,205.034,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n1048576_t0_p0.5_library_fast_latest.csv
PASS,v2,1,1048576,1048576,0,0.5,528812,200,0.0310445,237.019,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n1048576_t0_p0.5_library_fast_latest.csv
PASS,library_cub_device_select,2,8192,16384,0,0.5,8260,200,0.0083352,13.7931,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n8192_t0_p0.5_library_fast_latest.csv
PASS,v1,2,8192,16384,0,0.5,8260,200,0.00852336,13.4886,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n8192_t0_p0.5_library_fast_latest.csv
PASS,v2,2,8192,16384,0,0.5,8260,200,0.0085408,13.461,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n8192_t0_p0.5_library_fast_latest.csv
PASS,library_cub_device_select,2,131072,262144,0,0.5,132036,200,0.00828256,222.017,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n131072_t0_p0.5_library_fast_latest.csv
PASS,v1,2,131072,262144,0,0.5,132036,200,0.0137158,134.069,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n131072_t0_p0.5_library_fast_latest.csv
PASS,v2,2,131072,262144,0,0.5,132036,200,0.0126683,145.155,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n131072_t0_p0.5_library_fast_latest.csv
PASS,library_cub_device_select,2,1048576,2097152,0,0.5,1057310,200,0.0181146,812.33,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n1048576_t0_p0.5_library_fast_latest.csv
PASS,v1,2,1048576,2097152,0,0.5,1057310,200,0.0515632,285.378,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n1048576_t0_p0.5_library_fast_latest.csv
PASS,v2,2,1048576,2097152,0,0.5,1057310,200,0.0502462,292.858,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n1048576_t0_p0.5_library_fast_latest.csv
PASS,library_cub_device_select,8,8192,65536,0,0.5,33124,200,0.0224709,20.4802,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n8192_t0_p0.5_library_fast_latest.csv
PASS,v1,8,8192,65536,0,0.5,33124,200,0.00862864,53.3349,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n8192_t0_p0.5_library_fast_latest.csv
PASS,v2,8,8192,65536,0,0.5,33124,200,0.00853472,53.9219,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n8192_t0_p0.5_library_fast_latest.csv
PASS,library_cub_device_select,8,131072,1048576,0,0.5,528812,200,0.0260042,282.961,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n131072_t0_p0.5_library_fast_latest.csv
PASS,v1,8,131072,1048576,0,0.5,528812,200,0.029789,247.01,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n131072_t0_p0.5_library_fast_latest.csv
PASS,v2,8,131072,1048576,0,0.5,528812,200,0.0289981,253.746,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n131072_t0_p0.5_library_fast_latest.csv
PASS,library_cub_device_select,8,1048576,8388608,0,0.5,4226803,200,0.0603037,975.899,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n1048576_t0_p0.5_library_fast_latest.csv
PASS,v1,8,1048576,8388608,0,0.5,4226803,200,0.198248,296.852,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n1048576_t0_p0.5_library_fast_latest.csv
PASS,v2,8,1048576,8388608,0,0.5,4226803,200,0.160459,366.761,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n1048576_t0_p0.5_library_fast_latest.csv
