status,mode,batch_size,n,total_elements,threshold,keep_prob,total_count,iters,avg_ms,logical_gbps,csv
PASS,library_cub_device_select,1,8192,8192,0,0.5,4109,200,0.00819536,7.00396,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n8192_t0_p0.5_stream_latest.csv
PASS,v1,1,8192,8192,0,0.5,4109,200,0.00864544,6.63934,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n8192_t0_p0.5_stream_latest.csv
PASS,v2,1,8192,8192,0,0.5,4109,200,0.00851632,6.74,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n8192_t0_p0.5_stream_latest.csv
PASS,library_cub_device_select,1,131072,131072,0,0.5,65918,200,0.0081984,112.099,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n131072_t0_p0.5_stream_latest.csv
PASS,v1,1,131072,131072,0,0.5,65918,200,0.0126131,72.8635,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n131072_t0_p0.5_stream_latest.csv
PASS,v2,1,131072,131072,0,0.5,65918,200,0.0124475,73.8329,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n131072_t0_p0.5_stream_latest.csv
PASS,library_cub_device_select,1,1048576,1048576,0,0.5,528812,200,0.0122933,598.549,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n1048576_t0_p0.5_stream_latest.csv
PASS,v1,1,1048576,1048576,0,0.5,528812,200,0.0358256,205.388,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n1048576_t0_p0.5_stream_latest.csv
PASS,v2,1,1048576,1048576,0,0.5,528812,200,0.0310606,236.896,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n1048576_t0_p0.5_stream_latest.csv
PASS,library_cub_device_select,2,8192,16384,0,0.5,8260,200,0.0083024,13.8476,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n8192_t0_p0.5_stream_latest.csv
PASS,v1,2,8192,16384,0,0.5,8260,200,0.00853104,13.4764,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n8192_t0_p0.5_stream_latest.csv
PASS,v2,2,8192,16384,0,0.5,8260,200,0.00852176,13.4911,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n8192_t0_p0.5_stream_latest.csv
PASS,library_cub_device_select,2,131072,262144,0,0.5,132036,200,0.00831264,221.214,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n131072_t0_p0.5_stream_latest.csv
PASS,v1,2,131072,262144,0,0.5,132036,200,0.0137187,134.041,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n131072_t0_p0.5_stream_latest.csv
PASS,v2,2,131072,262144,0,0.5,132036,200,0.0126422,145.455,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n131072_t0_p0.5_stream_latest.csv
PASS,library_cub_device_select,2,1048576,2097152,0,0.5,1057310,200,0.0181422,811.091,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n1048576_t0_p0.5_stream_latest.csv
PASS,v1,2,1048576,2097152,0,0.5,1057310,200,0.051603,285.158,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n1048576_t0_p0.5_stream_latest.csv
PASS,v2,2,1048576,2097152,0,0.5,1057310,200,0.0502698,292.721,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n1048576_t0_p0.5_stream_latest.csv
PASS,library_cub_device_select,8,8192,65536,0,0.5,33124,200,0.0262317,17.544,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n8192_t0_p0.5_stream_latest.csv
PASS,v1,8,8192,65536,0,0.5,33124,200,0.00862336,53.3676,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n8192_t0_p0.5_stream_latest.csv
PASS,v2,8,8192,65536,0,0.5,33124,200,0.00852704,53.9704,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n8192_t0_p0.5_stream_latest.csv
PASS,library_cub_device_select,8,131072,1048576,0,0.5,528812,200,0.0262899,279.885,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n131072_t0_p0.5_stream_latest.csv
PASS,v1,8,131072,1048576,0,0.5,528812,200,0.0298173,246.775,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n131072_t0_p0.5_stream_latest.csv
PASS,v2,8,131072,1048576,0,0.5,528812,200,0.0290259,253.503,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n131072_t0_p0.5_stream_latest.csv
PASS,library_cub_device_select,8,1048576,8388608,0,0.5,4226803,200,0.060192,977.709,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b8_n1048576_t0_p0.5_stream_latest.csv
PASS,v1,8,1048576,8388608,0,0.5,4226803,200,0.19825,296.848,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b8_n1048576_t0_p0.5_stream_latest.csv
PASS,v2,8,1048576,8388608,0,0.5,4226803,200,0.160379,366.946,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b8_n1048576_t0_p0.5_stream_latest.csv
