mode,stage_index,kernel,Duration us,DRAM throughput %,Memory throughput %,L1/TEX hit %,L2 hit %,Achieved occupancy %,Eligible warps/scheduler,Warp cycles/issued inst,Registers/thread,Static shared KB/block,Executed instructions
v5,0,"compact_v5_kernel<8, 32, 16>",54.528000,93.080560,93.080560,49.971942,0.333760,91.562432,0.114328,,26,0.032000,2086912
v5,1,simple_warp_prefix_exclude_expand<32>,2.208000,0.826149,3.467314,0.000000,51.886792,16.553766,0.074293,,19,0.128000,4224
v5,2,"integrate_block<8, 32, 16>",56.704000,94.403800,94.403800,47.251149,15.220681,79.067268,0.401921,,39,16.420000,5439050
library_cub_device_select,0,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1.568000,0.254065,4.924718,0.000000,73.708207,8.731192,0.027698,,16,0.000000,163
library_cub_device_select,1,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",13.280000,48.472612,48.472612,17.842617,16.063798,43.250253,0.269799,,69,26.112000,711621
library_cub_device_select,2,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1.568000,0.281762,4.969927,0.000000,90.484140,7.908843,0.030703,,16,0.000000,163
library_cub_device_select,3,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",12.960000,49.542464,49.542464,17.137396,15.134928,40.665293,0.280088,,69,26.112000,711510
library_cub_device_select,4,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1.568000,0.254065,4.924718,0.000000,81.188119,7.974895,0.030749,,16,0.000000,163
library_cub_device_select,5,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",12.672000,50.756740,50.756740,17.721256,15.782282,44.305499,0.277081,,69,26.112000,711689
library_cub_device_select,6,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1.568000,0.254065,4.937107,0.000000,72.876304,10.336207,0.023140,,16,0.000000,163
library_cub_device_select,7,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",13.888000,46.224888,46.224888,17.374216,14.930192,41.900931,0.283959,,69,26.112000,711393
library_cub_device_select,8,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1.568000,0.254065,4.917006,0.000000,66.035183,7.905610,0.030848,,16,0.000000,163
library_cub_device_select,9,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",12.768000,50.358706,50.358706,18.139815,15.715400,44.684408,0.255441,,69,26.112000,711125
library_cub_device_select,10,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1.568000,0.279472,4.947999,0.000000,77.302632,10.101099,0.024098,,16,0.000000,163
library_cub_device_select,11,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",12.896000,49.969836,49.969836,18.162470,15.651139,44.128903,0.281541,,69,26.112000,712345
library_cub_device_select,12,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1.568000,0.256148,4.938660,0.000000,78.267974,7.953620,0.030656,,16,0.000000,163
library_cub_device_select,13,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",13.120000,49.023438,49.023438,17.903148,15.549695,41.350499,0.279123,,69,26.112000,711404
library_cub_device_select,14,"DeviceCompactInitKernel<ScanTileState<int, 1>, int *>",1.536000,0.254065,4.955808,0.000000,65.000000,10.245841,0.030365,,16,0.000000,163
library_cub_device_select,15,"DeviceSelectSweepKernel<detail::device_select_policy_hub<int, NullType, int, 0, 0>::Policy900, const int *, NullType *, int *, int *, ScanTileState<int, 1>, <unnamed>::KeepThresholdPredicate, NullType, int, 0, 0>",12.608000,51.057076,51.057076,17.805816,15.501946,43.295915,0.277580,,69,26.112000,711928
