B,N,mode,avg_ms,logical_gbps,total_count,status,best_mode,vs_best_pct,vs_library_pct,vs_v2_pct
1,8192,baseline,0.403953,0.142096,4109,pass,v2,+4464.3%,+2438.3%,+4464.3%
1,8192,library_cub_thrust,0.0159146,3.60676,4109,pass,v2,+79.8%,+0.0%,+79.8%
1,8192,v1,0.00888832,6.45791,4109,pass,v2,+0.4%,-44.1%,+0.4%
1,8192,v2,0.00885024,6.4857,4109,pass,v2,+0.0%,-44.4%,+0.0%
1,131072,baseline,6.07963,0.151167,65918,pass,v2,+47580.8%,+37226.5%,+47580.8%
1,131072,library_cub_thrust,0.0162877,56.4252,65918,pass,v2,+27.7%,+0.0%,+27.7%
1,131072,v1,0.0128554,71.4905,65918,pass,v2,+0.8%,-21.1%,+0.8%
1,131072,v2,0.0127507,72.0772,65918,pass,v2,+0.0%,-21.7%,+0.0%
1,1048576,baseline,45.3142,0.16238,528812,pass,library_cub_thrust,+223325.2%,+223325.2%,+127468.0%
1,1048576,library_cub_thrust,0.0202816,362.798,528812,pass,library_cub_thrust,+0.0%,+0.0%,-42.9%
1,1048576,v1,0.036159,203.494,528812,pass,library_cub_thrust,+78.3%,+78.3%,+1.8%
1,1048576,v2,0.0355216,207.145,528812,pass,library_cub_thrust,+75.1%,+75.1%,+0.0%
2,8192,baseline,0.403982,0.284587,8260,pass,v2,+4477.6%,+1216.9%,+4477.6%
2,8192,library_cub_thrust,0.0306778,3.7476,8260,pass,v2,+247.6%,+0.0%,+247.6%
2,8192,v1,0.00884,13.0054,8260,pass,v2,+0.2%,-71.2%,+0.2%
2,8192,v2,0.00882528,13.0271,8260,pass,v2,+0.0%,-71.2%,+0.0%
2,131072,baseline,6.05537,0.303676,132036,pass,v2,+44059.2%,+19696.2%,+44059.2%
2,131072,library_cub_thrust,0.0305885,60.1165,132036,pass,v2,+123.1%,+0.0%,+123.1%
2,131072,v1,0.0141936,129.556,132036,pass,v2,+3.5%,-53.6%,+3.5%
2,131072,v2,0.0137126,134.101,132036,pass,v2,+0.0%,-55.2%,+0.0%
2,1048576,baseline,45.5893,0.322773,1057310,pass,library_cub_thrust,+113157.5%,+113157.5%,+87733.9%
2,1048576,library_cub_thrust,0.0402528,365.565,1057310,pass,library_cub_thrust,+0.0%,+0.0%,-22.4%
2,1048576,v1,0.0520694,282.604,1057310,pass,library_cub_thrust,+29.4%,+29.4%,+0.3%
2,1048576,v2,0.051904,283.504,1057310,pass,library_cub_thrust,+28.9%,+28.9%,+0.0%
8,8192,baseline,0.40977,1.12309,33124,pass,v2,+4505.9%,+253.1%,+4505.9%
8,8192,library_cub_thrust,0.116061,3.96522,33124,pass,v2,+1204.5%,+0.0%,+1204.5%
8,8192,v1,0.00895168,51.4102,33124,pass,v2,+0.6%,-92.3%,+0.6%
8,8192,v2,0.00889664,51.7283,33124,pass,v2,+0.0%,-92.3%,+0.0%
8,131072,baseline,6.12524,1.20129,528812,pass,v2,+20787.8%,+5016.9%,+20787.8%
8,131072,library_cub_thrust,0.119705,61.4691,528812,pass,v2,+308.2%,+0.0%,+308.2%
8,131072,v1,0.0301302,244.212,528812,pass,v2,+2.7%,-74.8%,+2.7%
8,131072,v2,0.0293245,250.922,528812,pass,v2,+0.0%,-75.5%,+0.0%
8,1048576,baseline,57.5573,1.02246,4226803,pass,v2,+37120.4%,+35121.1%,+37120.4%
8,1048576,library_cub_thrust,0.163417,360.123,4226803,pass,v2,+5.7%,+0.0%,+5.7%
8,1048576,v1,0.198758,296.09,4226803,pass,v2,+28.5%,+21.6%,+28.5%
8,1048576,v2,0.154639,380.566,4226803,pass,v2,+0.0%,-5.4%,+0.0%
