status,mode,batch_size,n,total_elements,threshold,keep_prob,total_count,iters,avg_ms,logical_gbps,csv
PASS,library_cub_device_select,1,32,32,0,0.5,19,500,0.00618925,0.0387769,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n32_t0_p0.5_v3_domain_latest.csv
PASS,v1,1,32,32,0,0.5,19,500,0.0083273,0.0288209,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n32_t0_p0.5_v3_domain_latest.csv
PASS,v2,1,32,32,0,0.5,19,500,0.00831968,0.0288473,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n32_t0_p0.5_v3_domain_latest.csv
PASS,v3,1,32,32,0,0.5,19,500,0.00832461,0.0288302,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n32_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,1,256,256,0,0.5,120,500,0.00626016,0.281782,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n256_t0_p0.5_v3_domain_latest.csv
PASS,v1,1,256,256,0,0.5,120,500,0.00831987,0.212023,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n256_t0_p0.5_v3_domain_latest.csv
PASS,v2,1,256,256,0,0.5,120,500,0.00833056,0.21175,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n256_t0_p0.5_v3_domain_latest.csv
PASS,v3,1,256,256,0,0.5,120,500,0.00831904,0.212044,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n256_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,1,512,512,0,0.5,239,500,0.00616685,0.570794,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n512_t0_p0.5_v3_domain_latest.csv
PASS,v1,1,512,512,0,0.5,239,500,0.00831699,0.42323,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n512_t0_p0.5_v3_domain_latest.csv
PASS,v2,1,512,512,0,0.5,239,500,0.00833133,0.422502,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n512_t0_p0.5_v3_domain_latest.csv
PASS,v3,1,512,512,0,0.5,239,500,0.00832262,0.422944,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n512_t0_p0.5_v3_domain_latest.csv
PASS,library_cub_device_select,1,1024,1024,0,0.5,491,500,0.00619277,1.14456,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n1024_t0_p0.5_v3_domain_latest.csv
