status,mode,batch_size,n,total_elements,threshold,keep_prob,total_count,iters,avg_ms,logical_gbps,csv
PASS,library_cub_device_select,1,1024,1024,0,0.5,491,500,0.00620614,1.14209,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n1024_t0_p0.5_v3_passed_latest.csv
PASS,v1,1,1024,1024,0,0.5,491,500,0.00832659,0.851249,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n1024_t0_p0.5_v3_passed_latest.csv
PASS,v2,1,1024,1024,0,0.5,491,500,0.00833082,0.850817,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n1024_t0_p0.5_v3_passed_latest.csv
PASS,v3,1,1024,1024,0,0.5,491,500,0.00832269,0.851648,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n1024_t0_p0.5_v3_passed_latest.csv
PASS,library_cub_device_select,1,8192,8192,0,0.5,4109,500,0.00617574,9.29443,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n8192_t0_p0.5_v3_passed_latest.csv
PASS,v1,1,8192,8192,0,0.5,4109,500,0.00841011,6.82512,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b1_n8192_t0_p0.5_v3_passed_latest.csv
PASS,v2,1,8192,8192,0,0.5,4109,500,0.00832653,6.89363,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n8192_t0_p0.5_v3_passed_latest.csv
PASS,v3,1,8192,8192,0,0.5,4109,500,0.00831898,6.89989,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n8192_t0_p0.5_v3_passed_latest.csv
PASS,library_cub_device_select,2,1024,2048,0,0.5,1009,500,0.008304,1.72013,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n1024_t0_p0.5_v3_passed_latest.csv
PASS,v1,2,1024,2048,0,0.5,1009,500,0.00841766,1.69691,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n1024_t0_p0.5_v3_passed_latest.csv
PASS,v2,2,1024,2048,0,0.5,1009,500,0.00837133,1.7063,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n1024_t0_p0.5_v3_passed_latest.csv
PASS,v3,2,1024,2048,0,0.5,1009,500,0.00832422,1.71596,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n1024_t0_p0.5_v3_passed_latest.csv
PASS,library_cub_device_select,2,8192,16384,0,0.5,8260,500,0.00828429,13.8778,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b2_n8192_t0_p0.5_v3_passed_latest.csv
PASS,v1,2,8192,16384,0,0.5,8260,500,0.00836954,13.7365,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b2_n8192_t0_p0.5_v3_passed_latest.csv
PASS,v2,2,8192,16384,0,0.5,8260,500,0.00835264,13.7643,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b2_n8192_t0_p0.5_v3_passed_latest.csv
PASS,v3,2,8192,16384,0,0.5,8260,500,0.00832019,13.818,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b2_n8192_t0_p0.5_v3_passed_latest.csv
PASS,library_cub_device_select,3,1024,3072,0,0.5,1508,500,0.0116189,1.84216,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n1024_t0_p0.5_v3_passed_latest.csv
PASS,v1,3,1024,3072,0,0.5,1508,500,0.00845382,2.53187,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b3_n1024_t0_p0.5_v3_passed_latest.csv
PASS,v2,3,1024,3072,0,0.5,1508,500,0.00832979,2.56957,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n1024_t0_p0.5_v3_passed_latest.csv
PASS,v3,3,1024,3072,0,0.5,1508,500,0.00831859,2.57303,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n1024_t0_p0.5_v3_passed_latest.csv
PASS,library_cub_device_select,3,8192,24576,0,0.5,12445,500,0.0108291,15.9452,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b3_n8192_t0_p0.5_v3_passed_latest.csv
PASS,v1,3,8192,24576,0,0.5,12445,500,0.00832813,20.7336,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v1_b3_n8192_t0_p0.5_v3_passed_latest.csv
PASS,v2,3,8192,24576,0,0.5,12445,500,0.00831789,20.7591,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b3_n8192_t0_p0.5_v3_passed_latest.csv
PASS,v3,3,8192,24576,0,0.5,12445,500,0.00832902,20.7314,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b3_n8192_t0_p0.5_v3_passed_latest.csv
PASS,library_cub_device_select,7,1024,7168,0,0.5,3600,500,0.0198595,2.53119,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b7_n1024_t0_p0.5_v3_passed_latest.csv
