status,mode,batch_size,n,avg_ms,logical_gbps,total_count,csv,returncode,elapsed_s,error
PASS,library_cub_device_select,1,32,0.00616512,0.0389287,19,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n32_t0_p0.5_v4_flow_latest.csv,0,0.286,
PASS,v2,1,32,0.00850464,0.0282199,19,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n32_t0_p0.5_v4_flow_latest.csv,0,0.201,
PASS,v3,1,32,0.00850752,0.0282103,19,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n32_t0_p0.5_v4_flow_latest.csv,0,0.199,
PASS,v4,1,32,0.00854544,0.0280852,19,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b1_n32_t0_p0.5_v4_flow_latest.csv,0,0.199,
PASS,library_cub_device_select,1,256,0.00623664,0.282845,120,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n256_t0_p0.5_v4_flow_latest.csv,0,0.198,
PASS,v2,1,256,0.00851728,0.207108,120,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n256_t0_p0.5_v4_flow_latest.csv,0,0.196,
PASS,v3,1,256,0.00852192,0.206996,120,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n256_t0_p0.5_v4_flow_latest.csv,0,0.195,
PASS,v4,1,256,0.00851296,0.207213,120,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b1_n256_t0_p0.5_v4_flow_latest.csv,0,0.192,
PASS,library_cub_device_select,1,512,0.00616864,0.570628,239,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n512_t0_p0.5_v4_flow_latest.csv,0,0.184,
PASS,v2,1,512,0.00853152,0.412588,239,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n512_t0_p0.5_v4_flow_latest.csv,0,0.194,
PASS,v3,1,512,0.008512,0.413534,239,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n512_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,v4,1,512,0.00851344,0.413464,239,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b1_n512_t0_p0.5_v4_flow_latest.csv,0,0.199,
PASS,library_cub_device_select,1,1024,0.00623728,1.13639,491,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n1024_t0_p0.5_v4_flow_latest.csv,0,0.185,
PASS,v2,1,1024,0.00851952,0.831972,491,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n1024_t0_p0.5_v4_flow_latest.csv,0,0.193,
PASS,v3,1,1024,0.00851424,0.832488,491,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n1024_t0_p0.5_v4_flow_latest.csv,0,0.192,
PASS,v4,1,1024,0.00852016,0.831909,491,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b1_n1024_t0_p0.5_v4_flow_latest.csv,0,0.193,
PASS,library_cub_device_select,1,8192,0.00618544,9.27986,4109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n8192_t0_p0.5_v4_flow_latest.csv,0,0.181,
PASS,v2,1,8192,0.00852384,6.73405,4109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v2_b1_n8192_t0_p0.5_v4_flow_latest.csv,0,0.182,
PASS,v3,1,8192,0.0085416,6.72005,4109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v3_b1_n8192_t0_p0.5_v4_flow_latest.csv,0,0.194,
PASS,v4,1,8192,0.00858496,6.68611,4109,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/v4_b1_n8192_t0_p0.5_v4_flow_latest.csv,0,0.200,
PASS,library_cub_device_select,1,131072,0.00616512,149.07,65918,/home/silenceduke/vscode-project/compact_kernel_lab/reports/benchmark/library_cub_device_select_b1_n131072_t0_p0.5_v4_flow_latest.csv,0,0.187,
