mode,batch_size,n,total_elements,threshold,keep_prob,total_count,iters,avg_ms,logical_gb,logical_gbps,single_launch
v3,1,32,32,0,0.5,19,200,0.00850768,2.4e-07,0.0282098,0
v4,1,32,32,0,0.5,19,200,0.00850544,2.4e-07,0.0282172,0
library_cub,1,32,32,0,0.5,19,200,0.00617552,2.4e-07,0.0388631,0
v3,1,256,256,0,0.5,120,200,0.00854208,1.764e-06,0.206507,0
v4,1,256,256,0,0.5,120,200,0.00850576,1.764e-06,0.207389,0
library_cub,1,256,256,0,0.5,120,200,0.00630224,1.764e-06,0.2799,0
v3,1,512,512,0,0.5,239,200,0.0085104,3.52e-06,0.413612,0
v4,1,512,512,0,0.5,239,200,0.00850512,3.52e-06,0.413868,0
library_cub,1,512,512,0,0.5,239,200,0.00618496,3.52e-06,0.569123,0
v3,1,1024,1024,0,0.5,491,200,0.00851584,7.088e-06,0.832331,0
v4,1,1024,1024,0,0.5,491,200,0.00850864,7.088e-06,0.833036,0
library_cub,1,1024,1024,0,0.5,491,200,0.00619904,7.088e-06,1.1434,0
v3,1,8192,8192,0,0.5,4109,200,0.00851552,5.74e-05,6.74063,0
v4,1,8192,8192,0,0.5,4109,200,0.00856784,5.74e-05,6.69947,0
library_cub,1,8192,8192,0,0.5,4109,200,0.00617744,5.74e-05,9.29187,0
v3,1,131072,131072,0,0.5,65918,200,0.00863408,0.000919036,106.443,0
v4,1,131072,131072,0,0.5,65918,200,0.0102317,0.000919036,89.8226,0
library_cub,1,131072,131072,0,0.5,65918,200,0.00616448,0.000919036,149.086,0
v3,1,1048576,1048576,0,0.5,528812,200,0.0187731,0.00735813,391.95,0
v4,1,1048576,1048576,0,0.5,528812,200,0.0187606,0.00735813,392.211,0
library_cub,1,1048576,1048576,0,0.5,528812,200,0.0102603,0.00735813,717.145,0
v3,2,32,64,0,0.5,32,200,0.00852544,4.56e-07,0.053487,0
v4,2,32,64,0,0.5,32,200,0.00852656,4.56e-07,0.05348,0
library_cub,2,32,64,0,0.5,32,200,0.00276096,4.56e-07,0.16516,0
v3,2,256,512,0,0.5,239,200,0.00850912,3.524e-06,0.414144,0
v4,2,256,512,0,0.5,239,200,0.00859168,3.524e-06,0.410164,0
library_cub,2,256,512,0,0.5,239,200,0.00314032,3.524e-06,1.12218,0
v3,2,512,1024,0,0.5,491,200,0.00850432,7.092e-06,0.833929,0
v4,2,512,1024,0,0.5,491,200,0.008544,7.092e-06,0.830056,0
library_cub,2,512,1024,0,0.5,491,200,0.00233488,7.092e-06,3.03742,0
v3,2,1024,2048,0,0.5,1009,200,0.00850384,1.4284e-05,1.67971,0
v4,2,1024,2048,0,0.5,1009,200,0.00856096,1.4284e-05,1.6685,0
library_cub,2,1024,2048,0,0.5,1009,200,0.00324288,1.4284e-05,4.40473,0
v3,2,8192,16384,0,0.5,8260,200,0.00853312,0.000114968,13.4731,0
v4,2,8192,16384,0,0.5,8260,200,0.00851648,0.000114968,13.4995,0
library_cub,2,8192,16384,0,0.5,8260,200,0.0083352,0.000114968,13.7931,0
v3,2,131072,262144,0,0.5,132036,200,0.0124536,0.00183887,147.658,0
v4,2,131072,262144,0,0.5,132036,200,0.0117768,0.00183887,156.144,0
library_cub,2,131072,262144,0,0.5,132036,200,0.0083,0.00183887,221.551,0
v3,2,1048576,2097152,0,0.5,1057310,200,0.0249091,0.014715,590.748,0
v4,2,1048576,2097152,0,0.5,1057310,200,0.0249086,0.014715,590.759,0
library_cub,2,1048576,2097152,0,0.5,1057310,200,0.0181648,0.014715,810.084,0
v3,3,32,96,0,0.5,48,200,0.0085272,6.84e-07,0.0802139,0
v4,3,32,96,0,0.5,48,200,0.00856592,6.84e-07,0.0798513,0
library_cub,3,32,96,0,0.5,48,200,0.00312048,6.84e-07,0.219197,0
v3,3,256,768,0,0.5,373,200,0.00851712,5.344e-06,0.627442,0
v4,3,256,768,0,0.5,373,200,0.00853232,5.344e-06,0.626324,0
library_cub,3,256,768,0,0.5,373,200,0.00279216,5.344e-06,1.91393,0
v3,3,512,1536,0,0.5,752,200,0.00851248,1.07e-05,1.25698,0
v4,3,512,1536,0,0.5,752,200,0.00855072,1.07e-05,1.25136,0
library_cub,3,512,1536,0,0.5,752,200,0.00363296,1.07e-05,2.94526,0
v3,3,1024,3072,0,0.5,1508,200,0.00852576,2.1404e-05,2.51051,0
v4,3,1024,3072,0,0.5,1508,200,0.0085168,2.1404e-05,2.51315,0
library_cub,3,1024,3072,0,0.5,1508,200,0.00348848,2.1404e-05,6.13562,0
v3,3,8192,24576,0,0.5,12445,200,0.00851872,0.000172672,20.2697,0
v4,3,8192,24576,0,0.5,12445,200,0.00851104,0.000172672,20.288,0
library_cub,3,8192,24576,0,0.5,12445,200,0.0107469,0.000172672,16.0672,0
v3,3,131072,393216,0,0.5,197944,200,0.0146485,0.00275787,188.27,0
v4,3,131072,393216,0,0.5,197944,200,0.0146598,0.00275787,188.124,0
library_cub,3,131072,393216,0,0.5,197944,200,0.0120134,0.00275787,229.565,0
v3,3,1048576,3145728,0,0.5,1584800,200,0.0310544,0.0220679,710.619,0
v4,3,1048576,3145728,0,0.5,1584800,200,0.0310656,0.0220679,710.363,0
library_cub,3,1048576,3145728,0,0.5,1584800,200,0.0244406,0.0220679,902.916,0
v3,7,32,224,0,0.5,109,200,0.00851392,1.584e-06,0.186048,0
v4,7,32,224,0,0.5,109,200,0.0085128,1.584e-06,0.186073,0
library_cub,7,32,224,0,0.5,109,200,0.00315088,1.584e-06,0.502717,0
v3,7,256,1792,0,0.5,882,200,0.00851888,1.2516e-05,1.46921,0
v4,7,256,1792,0,0.5,882,200,0.00851712,1.2516e-05,1.46951,0
library_cub,7,256,1792,0,0.5,882,200,0.00309392,1.2516e-05,4.04535,0
v3,7,512,3584,0,0.5,1767,200,0.00850832,2.5016e-05,2.94018,0
v4,7,512,3584,0,0.5,1767,200,0.00852736,2.5016e-05,2.93362,0
library_cub,7,512,3584,0,0.5,1767,200,0.00321232,2.5016e-05,7.78752,0
v3,7,1024,7168,0,0.5,3600,200,0.00852336,5.0268e-05,5.89767,0
v4,7,1024,7168,0,0.5,3600,200,0.0085088,5.0268e-05,5.90777,0
library_cub,7,1024,7168,0,0.5,3600,200,0.00351936,5.0268e-05,14.2833,0
v3,7,8192,57344,0,0.5,28979,200,0.00857152,0.000402664,46.977,0
v4,7,8192,57344,0,0.5,28979,200,0.00852768,0.000402664,47.2185,0
library_cub,7,8192,57344,0,0.5,28979,200,0.0229646,0.000402664,17.5341,0
v3,7,131072,917504,0,0.5,462817,200,0.0187646,0.00643882,343.136,0
v4,7,131072,917504,0,0.5,462817,200,0.0187634,0.00643882,343.159,0
library_cub,7,131072,917504,0,0.5,462817,200,0.0200664,0.00643882,320.876,0
v3,7,1048576,7340032,0,0.5,3698574,200,0.0555941,0.0514945,926.258,0
v4,7,1048576,7340032,0,0.5,3698574,200,0.0576742,0.0514945,892.851,0
library_cub,7,1048576,7340032,0,0.5,3698574,200,0.0501933,0.0514945,1025.92,0
v3,8,32,256,0,0.5,120,200,0.00851424,1.792e-06,0.210471,0
v4,8,32,256,0,0.5,120,200,0.00850544,1.792e-06,0.210689,0
library_cub,8,32,256,0,0.5,120,200,0.00284192,1.792e-06,0.63056,0
v3,8,256,2048,0,0.5,1009,200,0.00850704,1.4308e-05,1.6819,0
v4,8,256,2048,0,0.5,1009,200,0.00851632,1.4308e-05,1.68007,0
library_cub,8,256,2048,0,0.5,1009,200,0.00308192,1.4308e-05,4.64256,0
v3,8,512,4096,0,0.5,2027,200,0.008508,2.862e-05,3.36389,0
v4,8,512,4096,0,0.5,2027,200,0.0085152,2.862e-05,3.36105,0
library_cub,8,512,4096,0,0.5,2027,200,0.00318368,2.862e-05,8.9896,0
v3,8,1024,8192,0,0.5,4109,200,0.00850912,5.7428e-05,6.74899,0
v4,8,1024,8192,0,0.5,4109,200,0.00853872,5.7428e-05,6.7256,0
library_cub,8,1024,8192,0,0.5,4109,200,0.0030896,5.7428e-05,18.5875,0
v3,8,8192,65536,0,0.5,33124,200,0.00856064,0.000460208,53.7586,0
v4,8,8192,65536,0,0.5,33124,200,0.00853936,0.000460208,53.8926,0
library_cub,8,8192,65536,0,0.5,33124,200,0.0228797,0.000460208,20.1143,0
v3,8,131072,1048576,0,0.5,528812,200,0.0187773,0.00735816,391.865,0
v4,8,131072,1048576,0,0.5,528812,200,0.018755,0.00735816,392.33,0
library_cub,8,131072,1048576,0,0.5,528812,200,0.0230552,0.00735816,319.154,0
v3,8,1048576,8388608,0,0.5,4226803,200,0.063949,0.0588503,920.27,0
v4,8,1048576,8388608,0,0.5,4226803,200,0.0660054,0.0588503,891.597,0
library_cub,8,1048576,8388608,0,0.5,4226803,200,0.0616808,0.0588503,954.11,0
